System: Starting background adjustment process...
System: Memulai proses untuk akun A1 (Start: 2025-08-01, End: 2025-08-31)
System: Target PPN: 1000000000, Target BTKP: 100000000
System: Restarting adjustment with force rerun enabled...
Action: Start Dual Adjustment | ACC: ('A1',) | Target PPN: 1,000,000,000.00 | Target BTKP: 100,000,000.00
--- Memulai Fase Penyesuaian PPN ---
PPN -> Current: 3,441,193,788.50 | Gap: -2,441,193,788.50
[PPN] Target Pemotongan: 2,441,193,788.50
[PPN] Faktor Proporsi (P): 0.7089
[A1] Action: Reduce Qty [4000/20375] | Receipt: 05-250805/00030 | Product: 0080412    | Qty Reduced: 9.0 | Value: 18,450.00 | Remaining Gap: 2,205,862,296.50
[A1] Action: Reduce Qty [4000/20375] | Receipt: 05-250805/00030 | Product: 0140700    | Qty Reduced: 2.0 | Value: 7,300.00 | Remaining Gap: 2,205,854,996.50
[A1] Action: Reduce Qty [4000/20375] | Receipt: 05-250805/00030 | Product: 0140371    | Qty Reduced: 4.0 | Value: 11,800.00 | Remaining Gap: 2,205,843,196.50
[A1] Action: Reduce Qty [4000/20375] | Receipt: 05-250805/00030 | Product: 0140793    | Qty Reduced: 2.0 | Value: 7,300.00 | Remaining Gap: 2,205,835,896.50
[A1] Action: Reduce Qty [4000/20375] | Receipt: 05-250805/00030 | Product: 0140575    | Qty Reduced: 4.0 | Value: 12,000.00 | Remaining Gap: 2,205,823,896.50
[A1] Action: Reduce Qty [4000/20375] | Receipt: 05-250805/00030 | Product: 0140732    | Qty Reduced: 4.0 | Value: 11,800.00 | Remaining Gap: 2,205,812,096.50
[A1] Action: Reduce Qty [4000/20375] | Receipt: 05-250805/00030 | Product: 0140021    | Qty Reduced: 4.0 | Value: 12,000.00 | Remaining Gap: 2,205,800,096.50
[A1] Action: Reduce Qty [4000/20375] | Receipt: 05-250805/00030 | Product: 0140782    | Qty Reduced: 4.0 | Value: 11,800.00 | Remaining Gap: 2,205,788,296.50
[A1] Action: Reduce Qty [5000/20375] | Receipt: 01-250807/00126 | Product: 0640999    | Qty Reduced: 2.0 | Value: 27,000.00 | Remaining Gap: 2,154,352,864.00
[A1] Action: Reduce Qty [5000/20375] | Receipt: 01-250807/00126 | Product: 0280039    | Qty Reduced: 1.0 | Value: 7,700.00 | Remaining Gap: 2,154,345,164.00
[A1] Action: Reduce Qty [5000/20375] | Receipt: 01-250807/00126 | Product: 0280065    | Qty Reduced: 1.0 | Value: 6,950.00 | Remaining Gap: 2,154,338,214.00
[A1] Action: Reduce Qty [5500/20375] | Receipt: 05-250807/00068 | Product: 0200051    | Qty Reduced: 1.0 | Value: 6,250.00 | Remaining Gap: 2,122,008,140.50
[A1] Action: Reduce Qty [5500/20375] | Receipt: 05-250807/00068 | Product: 0611663    | Qty Reduced: 2.0 | Value: 74,900.00 | Remaining Gap: 2,121,933,240.50
[A1] Action: Reduce Qty [6000/20375] | Receipt: 02-250808/00198 | Product: 0080108    | Qty Reduced: 9.0 | Value: 13,050.00 | Remaining Gap: 2,093,108,069.50
[A1] Action: Reduce Qty [6000/20375] | Receipt: 02-250808/00198 | Product: 0140021    | Qty Reduced: 1.0 | Value: 3,000.00 | Remaining Gap: 2,093,105,069.50
[A1] Action: Reduce Qty [6000/20375] | Receipt: 02-250808/00198 | Product: 0321605    | Qty Reduced: 1.0 | Value: 2,125.00 | Remaining Gap: 2,093,102,944.50
[A1] Action: Reduce Qty [6000/20375] | Receipt: 02-250808/00198 | Product: 0610085    | Qty Reduced: 1.0 | Value: 2,750.00 | Remaining Gap: 2,093,100,194.50
[A1] Action: Reduce Qty [6000/20375] | Receipt: 02-250808/00198 | Product: 0360510    | Qty Reduced: 1.0 | Value: 5,350.00 | Remaining Gap: 2,093,094,844.50
[A1] Action: Reduce Qty [6000/20375] | Receipt: 02-250808/00198 | Product: 0390006    | Qty Reduced: 1.0 | Value: 11,300.00 | Remaining Gap: 2,093,083,544.50
[A1] Action: Reduce Qty [6000/20375] | Receipt: 02-250808/00198 | Product: 0340031    | Qty Reduced: 1.0 | Value: 9,750.00 | Remaining Gap: 2,093,073,794.50
[A1] Action: Reduce Qty [6500/20375] | Receipt: 01-250809/00041 | Product: 0140739    | Qty Reduced: 1.0 | Value: 4,500.00 | Remaining Gap: 2,065,615,144.00
[A1] Action: Reduce Qty [6500/20375] | Receipt: 01-250809/00041 | Product: 0140612    | Qty Reduced: 1.0 | Value: 4,500.00 | Remaining Gap: 2,065,610,644.00
[A1] Action: Reduce Qty [6500/20375] | Receipt: 01-250809/00041 | Product: 0140062    | Qty Reduced: 1.0 | Value: 4,300.00 | Remaining Gap: 2,065,606,344.00
[A1] Action: Reduce Qty [6500/20375] | Receipt: 01-250809/00041 | Product: 0090034    | Qty Reduced: 9.0 | Value: 16,200.00 | Remaining Gap: 2,065,590,144.00
[A1] Action: Reduce Qty [6500/20375] | Receipt: 01-250809/00041 | Product: 0140020    | Qty Reduced: 1.0 | Value: 2,850.00 | Remaining Gap: 2,065,587,294.00
[A1] Action: Reduce Qty [6500/20375] | Receipt: 01-250809/00041 | Product: 0140371    | Qty Reduced: 1.0 | Value: 2,950.00 | Remaining Gap: 2,065,584,344.00
[A1] Action: Reduce Qty [6500/20375] | Receipt: 01-250809/00041 | Product: 0140725    | Qty Reduced: 1.0 | Value: 3,000.00 | Remaining Gap: 2,065,581,344.00
[A1] Action: Reduce Qty [6500/20375] | Receipt: 01-250809/00041 | Product: 0140070    | Qty Reduced: 14.0 | Value: 41,300.00 | Remaining Gap: 2,065,540,044.00
[A1] Action: Reduce Qty [6500/20375] | Receipt: 01-250809/00041 | Product: 0140575    | Qty Reduced: 3.0 | Value: 9,000.00 | Remaining Gap: 2,065,531,044.00
[A1] Action: Reduce Qty [7500/20375] | Receipt: 01-250810/00074 | Product: 0080235    | Qty Reduced: 9.0 | Value: 17,775.00 | Remaining Gap: 2,015,898,775.50
[A1] Action: Reduce Qty [7500/20375] | Receipt: 01-250810/00074 | Product: 0080412    | Qty Reduced: 9.0 | Value: 18,450.00 | Remaining Gap: 2,015,880,325.50
[A1] Action: Reduce Qty [7500/20375] | Receipt: 01-250810/00074 | Product: 0080128    | Qty Reduced: 9.0 | Value: 13,050.00 | Remaining Gap: 2,015,867,275.50
[A1] Action: Reduce Qty [7500/20375] | Receipt: 01-250810/00074 | Product: 0080416    | Qty Reduced: 9.0 | Value: 13,050.00 | Remaining Gap: 2,015,854,225.50
[A1] Action: Reduce Qty [7500/20375] | Receipt: 01-250810/00074 | Product: 0080039    | Qty Reduced: 19.0 | Value: 28,025.00 | Remaining Gap: 2,015,826,200.50
[A1] Action: Reduce Qty [7500/20375] | Receipt: 01-250810/00074 | Product: 0080172    | Qty Reduced: 9.0 | Value: 13,050.00 | Remaining Gap: 2,015,813,150.50
[A1] Action: Reduce Qty [7500/20375] | Receipt: 01-250810/00074 | Product: 0080171    | Qty Reduced: 9.0 | Value: 13,050.00 | Remaining Gap: 2,015,800,100.50
[A1] Action: Reduce Qty [7500/20375] | Receipt: 01-250810/00074 | Product: 0080115    | Qty Reduced: 3 | Value: 4,350.00 | Remaining Gap: 2,015,795,750.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0240088    | Qty Reduced: 2.0 | Value: 33,200.00 | Remaining Gap: 1,964,214,527.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0340061    | Qty Reduced: 4.0 | Value: 17,200.00 | Remaining Gap: 1,964,197,327.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0810134    | Qty Reduced: 1.0 | Value: 41,500.00 | Remaining Gap: 1,964,155,827.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0140518    | Qty Reduced: 2.0 | Value: 13,400.00 | Remaining Gap: 1,964,142,427.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0630025    | Qty Reduced: 2.0 | Value: 12,900.00 | Remaining Gap: 1,964,129,527.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0610087    | Qty Reduced: 1.0 | Value: 2,750.00 | Remaining Gap: 1,964,126,777.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0611574    | Qty Reduced: 1.0 | Value: 2,750.00 | Remaining Gap: 1,964,124,027.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0610084    | Qty Reduced: 1.0 | Value: 2,750.00 | Remaining Gap: 1,964,121,277.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0610029    | Qty Reduced: 5.0 | Value: 13,750.00 | Remaining Gap: 1,964,107,527.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0341146    | Qty Reduced: 2.0 | Value: 9,400.00 | Remaining Gap: 1,964,098,127.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0341113    | Qty Reduced: 2.0 | Value: 9,400.00 | Remaining Gap: 1,964,088,727.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0341491    | Qty Reduced: 7.0 | Value: 32,725.00 | Remaining Gap: 1,964,056,002.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0730032    | Qty Reduced: 3.0 | Value: 23,550.00 | Remaining Gap: 1,964,032,452.50
[A1] Action: Reduce Qty [8500/20375] | Receipt: 05-250811/00028 | Product: 0140001    | Qty Reduced: 2.0 | Value: 7,800.00 | Remaining Gap: 1,964,024,652.50
[A1] Action: Reduce Qty [9000/20375] | Receipt: 04-250812/00035 | Product: 0140112    | Qty Reduced: 3.0 | Value: 6,450.00 | Remaining Gap: 1,938,022,706.50
[A1] Action: Reduce Qty [9000/20375] | Receipt: 04-250812/00035 | Product: 0080115    | Qty Reduced: 2.0 | Value: 2,900.00 | Remaining Gap: 1,938,019,806.50
[A1] Action: Reduce Qty [9500/20375] | Receipt: 03-250813/00055 | Product: 0080115    | Qty Reduced: 6.0 | Value: 8,700.00 | Remaining Gap: 1,918,183,053.50
[A1] Action: Reduce Qty [9500/20375] | Receipt: 03-250813/00055 | Product: 0080393    | Qty Reduced: 9.0 | Value: 18,450.00 | Remaining Gap: 1,918,164,603.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0140021    | Qty Reduced: 3.0 | Value: 9,000.00 | Remaining Gap: 1,863,682,243.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0140020    | Qty Reduced: 3.0 | Value: 8,550.00 | Remaining Gap: 1,863,673,693.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0080185    | Qty Reduced: 9.0 | Value: 14,850.00 | Remaining Gap: 1,863,658,843.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0330393    | Qty Reduced: 1.0 | Value: 850.00 | Remaining Gap: 1,863,657,993.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0330481    | Qty Reduced: 2.0 | Value: 1,700.00 | Remaining Gap: 1,863,656,293.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0330395    | Qty Reduced: 1.0 | Value: 850.00 | Remaining Gap: 1,863,655,443.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0350252    | Qty Reduced: 9.0 | Value: 8,100.00 | Remaining Gap: 1,863,647,343.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0380307    | Qty Reduced: 1.0 | Value: 3,550.00 | Remaining Gap: 1,863,643,793.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0360200    | Qty Reduced: 1.0 | Value: 2,750.00 | Remaining Gap: 1,863,641,043.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0340876    | Qty Reduced: 1.0 | Value: 3,150.00 | Remaining Gap: 1,863,637,893.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0300023    | Qty Reduced: 5.0 | Value: 13,750.00 | Remaining Gap: 1,863,624,143.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0460012    | Qty Reduced: 2.0 | Value: 8,600.00 | Remaining Gap: 1,863,615,543.50
[A1] Action: Reduce Qty [10500/20375] | Receipt: 01-250815/00117 | Product: 0320057    | Qty Reduced: 2.0 | Value: 17,600.00 | Remaining Gap: 1,863,597,943.50
[A1] Action: Reduce Qty [11000/20375] | Receipt: 05-250815/00054 | Product: 0380156    | Qty Reduced: 3.0 | Value: 20,400.00 | Remaining Gap: 1,841,300,689.50
[A1] Action: Reduce Qty [11500/20375] | Receipt: 04-250816/00067 | Product: 0341492    | Qty Reduced: 1.0 | Value: 4,700.00 | Remaining Gap: 1,817,850,852.25
[A1] Action: Reduce Qty [13000/20375] | Receipt: 04-250819/00031 | Product: 0652246    | Qty Reduced: 1.0 | Value: 12,487.50 | Remaining Gap: 1,748,940,233.25
[A1] Action: Reduce Qty [13000/20375] | Receipt: 04-250819/00031 | Product: 0350188    | Qty Reduced: 2.0 | Value: 4,400.00 | Remaining Gap: 1,748,935,833.25
[A1] Action: Reduce Qty [13000/20375] | Receipt: 04-250819/00031 | Product: 0330052    | Qty Reduced: 4.0 | Value: 42,400.00 | Remaining Gap: 1,748,893,433.25
